date,value
8/17/2017,87.32
8/16/2017,86.57
8/15/2017,86.09
8/14/2017,86.2
8/11/2017,86.01
8/10/2017,86.81
8/9/2017,87.33
8/8/2017,87.63
8/7/2017,87.74
8/4/2017,87.48
8/3/2017,88.24
8/2/2017,87.95
8/1/2017,88.25
7/31/2017,88.4
7/28/2017,88.65
7/27/2017,89
7/26/2017,88.81
7/25/2017,88.04
7/24/2017,87.96
7/21/2017,89.05
7/20/2017,89.04
7/19/2017,88.71
7/18/2017,87.88
7/17/2017,88.09
7/14/2017,87.57
7/13/2017,86.88
7/12/2017,87.03
7/11/2017,86.74
7/10/2017,86.6
7/7/2017,85.88
7/6/2017,86.12
7/5/2017,86.14
7/4/2017,86.86
7/3/2017,86.42
6/30/2017,86.2
6/29/2017,85.79
6/28/2017,85.2
6/27/2017,84.84
6/26/2017,84.21
6/23/2017,83.96
6/22/2017,84.12
6/21/2017,84.48
6/20/2017,84.74
6/19/2017,84.5
6/16/2017,84.08
6/15/2017,83.13
6/14/2017,82.97
6/13/2017,82.93
6/12/2017,83.05
6/9/2017,83.03
6/8/2017,82.9
6/7/2017,82.14
6/6/2017,82.7
6/5/2017,82.18
6/2/2017,82.13
6/1/2017,82.32
5/31/2017,82.74
5/30/2017,82.79
5/29/2017,82.91
5/26/2017,83.37
5/25/2017,83.67
5/24/2017,83.59
5/23/2017,83.22
5/22/2017,82.95
5/19/2017,82.71
5/18/2017,82.35
5/17/2017,84
5/16/2017,84.35
5/15/2017,83.72
5/12/2017,84.02
5/11/2017,84.19
5/10/2017,83.72
5/9/2017,83.66
5/8/2017,83.65
5/5/2017,83.33
5/4/2017,83.7
5/3/2017,84.39
5/2/2017,84.16
5/1/2017,83.51
4/28/2017,83.04
4/27/2017,83.02
4/26/2017,83.7
4/25/2017,83.1
4/24/2017,82.31
4/21/2017,82.28
4/20/2017,81.62
4/19/2017,81.98
4/18/2017,82.66
4/17/2017,82.3
4/14/2017,82.54
4/13/2017,82.01
4/12/2017,82.21
4/11/2017,83.22
4/10/2017,83.22
4/7/2017,83.61
4/6/2017,83.78
4/5/2017,83.78
4/4/2017,84.33
4/3/2017,84.97
3/31/2017,85.52
3/30/2017,85.17
3/29/2017,84.85
3/28/2017,84.29
3/27/2017,84.89
3/24/2017,84.6
3/23/2017,85.35
3/22/2017,85.92
3/21/2017,87.04
3/20/2017,86.81
3/17/2017,86.98
3/16/2017,87.4
3/15/2017,86.8
3/14/2017,86.98
3/13/2017,86.59
3/10/2017,86.29
3/9/2017,86.06
3/8/2017,86.49
3/7/2017,86.21
3/6/2017,86.61
3/3/2017,86.66
3/2/2017,87.31
3/1/2017,86.33
2/28/2017,86.48
2/27/2017,86.02
2/24/2017,86.88
2/23/2017,87.27
2/22/2017,87.24
2/21/2017,86.95
2/20/2017,86.44
2/17/2017,87.13
2/16/2017,88.02
2/15/2017,87.54
2/14/2017,86.88
2/13/2017,86.9
2/10/2017,86.36
2/9/2017,85.58
2/8/2017,85.73
2/7/2017,85.58
2/6/2017,86.48
2/3/2017,86.38
2/2/2017,85.91
2/1/2017,85.56
1/31/2017,85.94
1/30/2017,86.87
1/27/2017,86.31
1/26/2017,85.8
1/25/2017,86.25
1/24/2017,85.48
1/23/2017,86.61
1/20/2017,86.86
1/19/2017,86.08
1/18/2017,85.2
1/17/2017,85.38
1/16/2017,85.9
1/13/2017,85.85
1/12/2017,85.88
1/11/2017,85.33
1/10/2017,85.26
1/9/2017,85.39
1/6/2017,84.64
1/5/2017,85.39
1/4/2017,85.01
1/3/2017,84.47
1/2/2017,84.22
12/30/2016,84.12
12/29/2016,84.14
12/28/2016,84.4
12/27/2016,84.25
12/26/2016,84.13
12/23/2016,84.82
12/22/2016,85.05
12/21/2016,85.55
12/20/2016,84.81
12/19/2016,86.13
12/16/2016,86.97
12/15/2016,86.84
12/14/2016,86.52
12/13/2016,86.24
12/12/2016,85.9
12/9/2016,85.09
12/8/2016,85.12
12/7/2016,84.97
12/6/2016,85.07
12/5/2016,84.66
12/2/2016,84.61
12/1/2016,84.54
11/30/2016,84.11
11/29/2016,83.76
11/28/2016,84.27
11/25/2016,83.95
11/24/2016,83.08
11/23/2016,82.27
11/22/2016,81.65
11/21/2016,81.36
11/18/2016,81.56
11/17/2016,81.67
11/16/2016,82.54
11/15/2016,81.85
11/14/2016,80.52
11/11/2016,81.33
11/10/2016,80.6
11/9/2016,82.14
11/8/2016,80.72
11/7/2016,79.15
11/4/2016,79.13
11/3/2016,79.13
11/2/2016,79.7
11/1/2016,79.76
10/31/2016,79.58
10/28/2016,79.89
10/27/2016,79.94
10/26/2016,79.7
10/25/2016,79.28
10/24/2016,78.97
10/21/2016,79.28
10/20/2016,79.88
10/19/2016,79.62
10/18/2016,79.26
10/17/2016,79.37
10/14/2016,78.46
10/13/2016,78.8
10/12/2016,78.03
10/11/2016,78.81
10/10/2016,78.11
10/7/2016,78.85
10/6/2016,78.89
10/5/2016,78.41
10/4/2016,78
10/3/2016,77.64
9/30/2016,77.14
9/29/2016,77.45
9/28/2016,76.99
9/27/2016,76.62
9/26/2016,76.99
9/23/2016,77
9/22/2016,76.49
9/21/2016,76.85
9/20/2016,76.79
9/19/2016,76.62
9/16/2016,76.73
9/15/2016,76.5
9/14/2016,76.61
9/13/2016,77.06
9/12/2016,77.44
9/9/2016,78.32
9/8/2016,78.06
9/7/2016,78.43
9/6/2016,78.44
9/5/2016,78.68
9/2/2016,77.97
9/1/2016,77.75
8/31/2016,77.34
8/30/2016,77.16
8/29/2016,77.02
8/26/2016,76.59
8/25/2016,76.49
8/24/2016,76.33
8/23/2016,76.52
8/22/2016,76.44
8/19/2016,76.79
8/18/2016,76.76
8/17/2016,77.18
8/16/2016,77.71
8/15/2016,77.5
8/12/2016,78.5
8/11/2016,78
8/10/2016,78.16
8/9/2016,78.38
8/8/2016,77.57
8/5/2016,77.2
8/4/2016,76.82
8/3/2016,76.76
8/2/2016,77.18
8/1/2016,77.58
7/29/2016,78.99
7/28/2016,78.93
7/27/2016,78.52
7/26/2016,79.03
7/25/2016,79.19
7/22/2016,79.32
7/21/2016,80
7/20/2016,79.63
7/19/2016,80.57
7/18/2016,79.46
7/15/2016,80.38
7/14/2016,79.46
7/13/2016,79.82
7/12/2016,77.43
7/11/2016,76.09
7/8/2016,75.46
7/7/2016,76.19
7/6/2016,75.92
7/5/2016,77.33
7/4/2016,76.76
7/1/2016,76.9
6/30/2016,76.65
6/29/2016,75.89
6/28/2016,74.78
6/27/2016,76.33
6/24/2016,80.81
6/23/2016,78.28
6/22/2016,78.03
6/21/2016,77.51
6/20/2016,77.03
6/17/2016,76.77
6/16/2016,78.54
6/15/2016,78.07
6/14/2016,78.49
6/13/2016,78.91
6/10/2016,79.57
6/9/2016,79.95
6/8/2016,80.08
6/7/2016,79.21
6/6/2016,78.5
6/3/2016,78.71
6/2/2016,79.51
6/1/2016,80.1
5/31/2016,79.8
5/30/2016,79.25
5/27/2016,79.33
5/26/2016,79.33
5/25/2016,79.01
5/24/2016,78.92
5/23/2016,79.53
5/20/2016,79.47
5/19/2016,79.66
5/18/2016,79.95
5/17/2016,79.47
5/16/2016,78.96
5/13/2016,79.87
5/12/2016,79.95
5/11/2016,80.45
5/10/2016,79.26
5/9/2016,78.93
5/6/2016,80.07
5/5/2016,79.78
5/4/2016,79.77
5/3/2016,81.58
5/2/2016,80.94
4/29/2016,82.43
4/28/2016,84.55
4/27/2016,86.26
4/26/2016,85.8
4/25/2016,86.17
4/22/2016,84.71
4/21/2016,85.65
4/20/2016,85.34
4/19/2016,84.33
4/18/2016,84
4/15/2016,84.19
4/14/2016,83.7
4/13/2016,83.41
4/12/2016,82.01
4/11/2016,81.65
4/8/2016,81.21
4/7/2016,83.44
4/6/2016,83.23
4/5/2016,84.67
4/4/2016,85.75
4/1/2016,86.2
3/31/2016,86.24
3/30/2016,85.97
3/29/2016,85.6
3/28/2016,84.9
3/25/2016,84.98
3/24/2016,84.63
3/23/2016,85.64
3/22/2016,84.84
3/21/2016,84.81
3/18/2016,85.2
3/17/2016,84.99
3/16/2016,84.36
3/15/2016,85.52
3/14/2016,86.11
3/11/2016,84.38
3/10/2016,84.86
3/9/2016,83.78
3/8/2016,84.74
3/7/2016,84.62
3/4/2016,83.59
3/3/2016,82.77
3/2/2016,81.81
3/1/2016,80.5
2/29/2016,81.24
2/26/2016,81.75
2/25/2016,80.73
2/24/2016,80.75
2/23/2016,81.6
2/22/2016,80.52
2/19/2016,81.06
2/18/2016,81.96
2/17/2016,81.13
2/16/2016,81.8
2/15/2016,80.48
2/12/2016,79.93
2/11/2016,80.42
2/10/2016,81.37
2/9/2016,82.11
2/8/2016,82.6
2/5/2016,84.06
2/4/2016,84.53
2/3/2016,84.46
2/2/2016,86.08
2/1/2016,85.8
1/29/2016,84.16
1/28/2016,83.38
1/27/2016,82.94
1/26/2016,82.27
1/25/2016,83.18
1/22/2016,82.36
1/21/2016,80.78
1/20/2016,81.26
1/19/2016,80.55
1/18/2016,80.28
1/15/2016,82.47
1/14/2016,81.88
1/13/2016,82.2
1/12/2016,82.37
1/11/2016,81.53
1/8/2016,82.49
1/7/2016,83.78
1/6/2016,85.21
1/5/2016,85.88
1/4/2016,87.8
1/1/2016,87.64
12/31/2015,87.82
12/30/2015,87.86
12/29/2015,87.3
12/28/2015,87.25
12/25/2015,87.49
12/24/2015,87.48
12/23/2015,87.6
12/22/2015,87.12
12/21/2015,86.94
12/18/2015,87.36
12/17/2015,88.37
12/16/2015,87.53
12/15/2015,87.65
12/14/2015,86.97
12/11/2015,88.51
12/10/2015,87.8
12/9/2015,88.7
12/8/2015,89.67
12/7/2015,90.37
12/4/2015,90.02
12/3/2015,90.08
12/2/2015,89.98
12/1/2015,88.96
11/30/2015,88.37
11/27/2015,88.57
11/26/2015,89
11/25/2015,88.9
11/24/2015,88.35
11/23/2015,88.88
11/20/2015,88.38
11/19/2015,87.91
11/18/2015,87.79
11/17/2015,87.4
11/16/2015,87.38
11/13/2015,87.38
11/12/2015,86.76
11/11/2015,86.6
11/10/2015,86.8
11/9/2015,86.76
11/6/2015,86.96
11/5/2015,86.9
11/4/2015,86.99
11/3/2015,86.3
11/2/2015,86.09
10/30/2015,85.67
10/29/2015,86.18
10/28/2015,86.64
10/27/2015,87.78
10/26/2015,87.66
10/23/2015,87
10/22/2015,86.48
10/21/2015,87.03
10/20/2015,86.62
10/19/2015,86.83
10/16/2015,87.12
10/15/2015,86.76
10/14/2015,86.77
10/13/2015,88.36
10/12/2015,88.2
10/9/2015,87.08
10/8/2015,86.51
10/7/2015,86.15
10/6/2015,85.33
10/5/2015,84.54
10/2/2015,84.32
10/1/2015,84.12
9/30/2015,83.64
9/29/2015,83.82
9/28/2015,84.72
9/25/2015,84.35
9/24/2015,84.2
9/23/2015,85.19
9/22/2015,85.98
9/21/2015,86.26
9/18/2015,86.1
9/17/2015,86.77
9/16/2015,86
9/15/2015,85.83
9/14/2015,85.5
9/11/2015,85.31
9/10/2015,84.58
9/9/2015,84.07
9/8/2015,82.58
