,Localtime,Open,High,Low,Close,Volume,strtime,index2
185,2019-09-19 10:15:00,222.918,229.31681538461535,222.898,223.028,2.2,09/19 10:15,12
186,2019-09-19 10:16:00,223.03799999999998,229.37681538461547,222.877,222.977,2.735,09/19 10:16,12
187,2019-09-19 10:17:00,222.977,229.43081538461556,222.857,222.918,2.2125,09/19 10:17,12
188,2019-09-19 10:18:00,222.928,229.61681538461542,222.878,222.977,2.3375,09/19 10:18,12
189,2019-09-19 10:19:00,222.958,228.77681538461533,222.778,222.847,2.685,09/19 10:19,12
190,2019-09-19 10:20:00,222.84799999999998,228.83681538461545,222.84799999999998,222.968,2.17,09/19 10:20,12
191,2019-09-19 10:21:00,222.968,228.89081538461554,222.89700000000002,222.987,1.9725,09/19 10:21,12
192,2019-09-19 10:22:00,222.988,229.4908153846155,222.968,222.988,1.4325,09/19 10:22,12
193,2019-09-19 10:23:00,222.987,229.25081538461555,222.977,223.05700000000002,1.03,09/19 10:23,12
194,2019-09-19 10:24:00,223.058,229.73681538461548,223.018,223.03799999999998,1.8,09/19 10:24,12
195,2019-09-19 10:25:00,223.048,229.49681538461536,222.988,223.047,1.3625,09/19 10:25,13
196,2019-09-19 10:26:00,223.048,229.43681538461541,222.958,223.028,2.02,09/19 10:26,13
197,2019-09-19 10:27:00,223.048,229.79081538461557,223.037,223.058,1.6075,09/19 10:27,13
198,2019-09-19 10:28:00,223.058,229.31681538461535,222.997,223.058,1.295,09/19 10:28,13
199,2019-09-19 10:29:00,223.058,229.37681538461547,222.968,222.97799999999998,1.39,09/19 10:29,13
200,2019-09-19 10:30:00,222.977,229.67681538461537,222.977,223.118,1.27,09/19 10:30,13
201,2019-09-19 10:31:00,223.128,229.73681538461548,223.05700000000002,223.09799999999998,1.355,09/19 10:31,13
202,2019-09-19 10:32:00,223.107,230.5768153846154,223.107,223.188,1.965,09/19 10:32,13
203,2019-09-19 10:33:00,223.17700000000002,229.97081538461558,223.02700000000002,223.048,1.5025,09/19 10:33,13
204,2019-09-19 10:34:00,223.05700000000002,229.97681538461543,223.05700000000002,223.168,1.785,09/19 10:34,13
205,2019-09-19 10:35:00,223.167,229.97081538461558,223.077,223.077,1.47,09/19 10:35,13
206,2019-09-19 10:36:00,223.08700000000002,230.87681538461547,223.08700000000002,223.308,1.96,09/19 10:36,13
207,2019-09-19 10:37:00,223.31799999999998,230.87681538461547,223.19799999999998,223.28799999999998,1.56,09/19 10:37,13
208,2019-09-19 10:38:00,223.28799999999998,230.99681538461536,223.218,223.27700000000002,1.8975,09/19 10:38,13
209,2019-09-19 10:39:00,223.287,230.81681538461535,223.257,223.298,1.35,09/19 10:39,13
210,2019-09-19 10:40:00,223.30700000000002,231.53681538461538,223.30700000000002,223.418,1.6775,09/19 10:40,14
211,2019-09-19 10:41:00,223.408,231.47681538461543,223.328,223.358,1.5425,09/19 10:41,14
212,2019-09-19 10:42:00,223.34799999999998,231.35681538461537,223.238,223.408,1.665,09/19 10:42,14
213,2019-09-19 10:43:00,223.408,231.4168153846155,223.387,223.408,0.9825,09/19 10:43,14
214,2019-09-19 10:44:00,223.407,231.4168153846155,223.328,223.408,1.445,09/19 10:44,14
215,2019-09-19 10:45:00,223.408,231.35681538461537,223.308,223.388,1.3925,09/19 10:45,14
216,2019-09-19 10:46:00,223.378,231.4168153846155,223.31799999999998,223.408,1.305,09/19 10:46,14
217,2019-09-19 10:47:00,223.407,232.9168153846155,223.407,223.657,1.835,09/19 10:47,14
218,2019-09-19 10:48:00,223.658,232.85681538461537,223.58700000000002,223.59799999999998,1.53,09/19 10:48,14
219,2019-09-19 10:49:00,223.55700000000002,232.61081538461556,223.548,223.558,1.455,09/19 10:49,14
220,2019-09-19 10:50:00,223.55700000000002,232.49681538461536,223.518,223.537,1.1525,09/19 10:50,14
221,2019-09-19 10:51:00,223.53799999999998,232.85681538461537,223.528,223.638,1.1625,09/19 10:51,14
222,2019-09-19 10:52:00,223.648,232.79681538461543,223.597,223.618,0.93,09/19 10:52,14
223,2019-09-19 10:53:00,223.628,232.85681538461537,223.597,223.648,0.6675,09/19 10:53,14
224,2019-09-19 10:54:00,223.648,232.9168153846155,223.56799999999998,223.667,1.1825,09/19 10:54,14
225,2019-09-19 10:55:00,223.668,232.9168153846155,223.637,223.648,0.5825,09/19 10:55,15
226,2019-09-19 10:56:00,223.637,233.45681538461534,223.588,223.628,1.1625,09/19 10:56,15
227,2019-09-19 10:57:00,223.618,232.67681538461537,223.447,223.44799999999998,1.73,09/19 10:57,15
228,2019-09-19 10:58:00,223.44799999999998,231.59681538461533,223.278,223.30700000000002,1.72,09/19 10:58,15
229,2019-09-19 10:59:00,223.297,230.93681538461541,223.197,223.247,1.7475,09/19 10:59,15
230,2019-09-19 11:00:00,223.247,230.8108153846155,223.217,223.267,1.605,09/19 11:00,15
231,2019-09-19 11:01:00,223.267,231.23681538461548,223.237,223.28799999999998,1.4675,09/19 11:01,15
232,2019-09-19 11:02:00,223.28799999999998,230.81681538461535,223.247,223.25799999999998,0.785,09/19 11:02,15
233,2019-09-19 11:03:00,223.257,230.5768153846154,223.138,223.148,1.9,09/19 11:03,15
234,2019-09-19 11:04:00,223.158,230.09681538461533,223.06799999999998,223.06799999999998,0.99,09/19 11:04,15
235,2019-09-19 11:05:00,223.077,229.85681538461537,223.017,223.03799999999998,1.0775,09/19 11:05,15
236,2019-09-19 11:06:00,223.047,229.43681538461541,222.947,222.968,1.9525,09/19 11:06,15
237,2019-09-19 11:07:00,222.967,229.13681538461535,222.917,222.947,1.3025,09/19 11:07,15
238,2019-09-19 11:08:00,222.947,228.59081538461547,222.857,222.887,1.22,09/19 11:08,15
239,2019-09-19 11:09:00,222.888,228.4168153846155,222.877,222.908,0.915,09/19 11:09,15
240,2019-09-19 11:10:00,222.907,229.01681538461546,222.89700000000002,222.997,1.15,09/19 11:10,16
241,2019-09-19 11:11:00,222.998,228.8968153846154,222.937,222.97799999999998,0.9575,09/19 11:11,16
242,2019-09-19 11:12:00,222.97799999999998,228.83681538461545,222.83700000000002,222.858,1.4225,09/19 11:12,16
243,2019-09-19 11:13:00,222.858,228.05681538461548,222.627,222.64700000000002,1.34,09/19 11:13,16
244,2019-09-19 11:14:00,222.628,227.09681538461533,222.628,222.658,1.56,09/19 11:14,16
245,2019-09-19 11:15:00,222.658,226.97681538461543,222.47799999999998,222.53799999999998,1.9,09/19 11:15,16
246,2019-09-19 11:16:00,222.53799999999998,226.73681538461548,222.457,222.588,1.7775,09/19 11:16,16
247,2019-09-19 11:17:00,222.58700000000002,226.97681538461543,222.528,222.658,1.9875,09/19 11:17,16
248,2019-09-19 11:18:00,222.657,227.03681538461538,222.537,222.56799999999998,1.86,09/19 11:18,16
249,2019-09-19 11:19:00,222.567,227.69681538461546,222.567,222.767,1.875,09/19 11:19,16
250,2019-09-19 11:20:00,222.77700000000002,227.93681538461541,222.767,222.798,1.5225,09/19 11:20,16
251,2019-09-19 11:21:00,222.798,227.69681538461546,222.688,222.69799999999998,1.485,09/19 11:21,16
252,2019-09-19 11:22:00,222.717,227.27681538461533,222.578,222.588,1.31,09/19 11:22,16
253,2019-09-19 11:23:00,222.597,227.09681538461533,222.50799999999998,222.52700000000002,1.555,09/19 11:23,16
254,2019-09-19 11:24:00,222.547,226.61081538461556,222.528,222.547,1.215,09/19 11:24,16
255,2019-09-19 11:25:00,222.53799999999998,226.61681538461542,222.52700000000002,222.577,1.035,09/19 11:25,17
256,2019-09-19 11:26:00,222.578,226.91081538461546,222.47799999999998,222.588,1.61,09/19 11:26,17
257,2019-09-19 11:27:00,222.618,226.61681538461542,222.567,222.597,1.0525,09/19 11:27,17
258,2019-09-19 11:28:00,222.608,226.73681538461548,222.52700000000002,222.528,1.36,09/19 11:28,17
259,2019-09-19 11:29:00,222.52700000000002,226.13681538461535,222.497,222.518,1.46,09/19 11:29,17
260,2019-09-19 11:30:00,222.528,226.79681538461543,222.517,222.638,1.6,09/19 11:30,17
261,2019-09-19 11:31:00,222.648,227.33681538461545,222.637,222.717,1.375,09/19 11:31,17
262,2019-09-19 11:32:00,222.718,227.27681538461533,222.637,222.69799999999998,1.2425,09/19 11:32,17
