date, value
3/29/1994,0.703
3/30/1994,0.701
3/31/1994,0.702
4/4/1994,0.702
4/5/1994,0.704
4/6/1994,0.708
4/7/1994,0.717
4/8/1994,0.724
4/11/1994,0.721
4/12/1994,0.72
4/13/1994,0.721
4/14/1994,0.721
4/15/1994,0.724
4/18/1994,0.717
4/19/1994,0.715
4/20/1994,0.711
4/21/1994,0.716
4/22/1994,0.719
4/25/1994,0.717
4/26/1994,0.717
4/28/1994,0.712
4/29/1994,0.715
5/2/1994,0.712
5/3/1994,0.704
5/4/1994,0.712
5/5/1994,0.717
5/6/1994,0.716
5/9/1994,0.721
5/10/1994,0.724
5/11/1994,0.72
5/12/1994,0.719
5/13/1994,0.723
5/16/1994,0.727
5/17/1994,0.728
5/18/1994,0.728
5/19/1994,0.728
5/20/1994,0.728
5/23/1994,0.734
5/24/1994,0.735
5/25/1994,0.734
5/26/1994,0.733
5/27/1994,0.733
5/31/1994,0.737
6/1/1994,0.738
6/2/1994,0.738
6/3/1994,0.738
6/6/1994,0.734
6/7/1994,0.734
6/8/1994,0.734
6/9/1994,0.734
6/10/1994,0.735
6/13/1994,0.735
6/14/1994,0.729
6/15/1994,0.73
6/16/1994,0.731
6/17/1994,0.735
6/20/1994,0.739
6/21/1994,0.746
6/22/1994,0.735
6/23/1994,0.732
6/24/1994,0.729
6/27/1994,0.723
6/28/1994,0.722
6/29/1994,0.728
6/30/1994,0.728
7/1/1994,0.731
7/5/1994,0.725
7/6/1994,0.73
7/7/1994,0.727
7/8/1994,0.733
7/11/1994,0.736
7/12/1994,0.736
7/13/1994,0.738
7/14/1994,0.735
7/15/1994,0.732
7/18/1994,0.73
7/19/1994,0.736
7/20/1994,0.736
7/21/1994,0.737
7/22/1994,0.744
7/25/1994,0.744
7/26/1994,0.742
7/27/1994,0.738
7/28/1994,0.739
7/29/1994,0.739
8/1/1994,0.737
8/2/1994,0.733
8/3/1994,0.73
8/4/1994,0.736
8/5/1994,0.743
8/8/1994,0.739
8/9/1994,0.741
8/10/1994,0.743
8/11/1994,0.744
8/12/1994,0.741
8/15/1994,0.741
8/16/1994,0.743
8/17/1994,0.737
8/18/1994,0.739
8/19/1994,0.738
8/22/1994,0.734
8/23/1994,0.736
8/24/1994,0.742
8/25/1994,0.744
8/26/1994,0.742
8/29/1994,0.743
8/30/1994,0.744
8/31/1994,0.743
9/1/1994,0.744
9/2/1994,0.742
9/6/1994,0.741
9/7/1994,0.743
9/8/1994,0.747
9/9/1994,0.745
9/12/1994,0.743
9/13/1994,0.743
9/14/1994,0.743
9/15/1994,0.743
9/16/1994,0.744
9/19/1994,0.742
9/20/1994,0.743
9/21/1994,0.734
9/22/1994,0.735
9/23/1994,0.742
9/26/1994,0.74
9/27/1994,0.739
9/28/1994,0.739
9/29/1994,0.739
9/30/1994,0.739
10/3/1994,0.74
10/4/1994,0.739
10/5/1994,0.74
10/6/1994,0.739
10/7/1994,0.738
10/10/1994,0.738
10/11/1994,0.736
10/12/1994,0.736
10/13/1994,0.737
10/14/1994,0.734
10/17/1994,0.734
10/18/1994,0.735
10/19/1994,0.736
10/20/1994,0.732
10/21/1994,0.732
10/24/1994,0.736
10/25/1994,0.738
10/26/1994,0.743
10/27/1994,0.744
10/28/1994,0.743
10/31/1994,0.743
11/1/1994,0.74
11/2/1994,0.743
11/3/1994,0.743
11/4/1994,0.751
11/7/1994,0.753
11/8/1994,0.753
11/9/1994,0.753
11/10/1994,0.755
11/11/1994,0.752
11/14/1994,0.751
11/15/1994,0.752
11/16/1994,0.751
11/17/1994,0.753
11/18/1994,0.758
11/21/1994,0.762
11/22/1994,0.763
11/23/1994,0.76
11/25/1994,0.759
11/28/1994,0.763
11/29/1994,0.763
11/30/1994,0.768
12/1/1994,0.766
12/2/1994,0.769
12/5/1994,0.77
12/6/1994,0.771
12/7/1994,0.77
12/8/1994,0.773
12/9/1994,0.774
12/12/1994,0.774
12/13/1994,0.775
12/14/1994,0.776
12/15/1994,0.778
12/16/1994,0.775
12/19/1994,0.776
12/20/1994,0.775
12/21/1994,0.775
12/22/1994,0.777
12/23/1994,0.775
12/27/1994,0.776
12/28/1994,0.776
12/29/1994,0.776
12/30/1994,0.776
1/3/1995,0.768
1/4/1995,0.769
1/5/1995,0.768
1/6/1995,0.765
1/9/1995,0.763
1/10/1995,0.767
1/11/1995,0.768
1/12/1995,0.767
1/13/1995,0.756
1/16/1995,0.76
1/17/1995,0.759
1/18/1995,0.762
1/19/1995,0.767
1/20/1995,0.769
1/23/1995,0.768
1/24/1995,0.77
1/25/1995,0.765
1/26/1995,0.766
1/27/1995,0.759
1/30/1995,0.76
1/31/1995,0.757
2/1/1995,0.758
2/2/1995,0.758
2/3/1995,0.75
2/6/1995,0.751
2/7/1995,0.745
2/8/1995,0.745
2/9/1995,0.742
2/10/1995,0.744
2/13/1995,0.744
2/14/1995,0.747
2/15/1995,0.746
2/16/1995,0.744
2/17/1995,0.737
2/21/1995,0.743
2/22/1995,0.739
2/23/1995,0.737
2/24/1995,0.738
2/27/1995,0.739
2/28/1995,0.739
3/1/1995,0.735
3/2/1995,0.736
3/3/1995,0.736
3/6/1995,0.74
3/7/1995,0.738
3/8/1995,0.739
3/9/1995,0.742
3/10/1995,0.744
3/13/1995,0.746
3/14/1995,0.744
3/15/1995,0.746
3/16/1995,0.746
3/17/1995,0.734
3/20/1995,0.724
3/21/1995,0.726
3/22/1995,0.725
3/23/1995,0.726
3/24/1995,0.73
3/27/1995,0.726
3/28/1995,0.728
3/29/1995,0.723
3/30/1995,0.73
3/31/1995,0.734
4/3/1995,0.734
4/4/1995,0.733
4/5/1995,0.74
4/6/1995,0.74
4/7/1995,0.743
4/10/1995,0.738
4/11/1995,0.74
4/12/1995,0.742
4/13/1995,0.739
4/17/1995,0.743
4/18/1995,0.742
4/19/1995,0.733
4/20/1995,0.735
4/21/1995,0.728
4/24/1995,0.728
4/25/1995,0.727
4/26/1995,0.726
4/27/1995,0.729
4/28/1995,0.728
5/1/1995,0.729
5/2/1995,0.728
5/3/1995,0.733
5/4/1995,0.741
5/5/1995,0.743
5/8/1995,0.737
5/9/1995,0.726
5/10/1995,0.727
5/11/1995,0.734
5/12/1995,0.74
5/15/1995,0.733
5/16/1995,0.729
5/17/1995,0.732
5/18/1995,0.718
5/19/1995,0.717
5/22/1995,0.716
5/23/1995,0.719
5/24/1995,0.716
5/25/1995,0.721
5/26/1995,0.719
5/30/1995,0.721
5/31/1995,0.718
6/1/1995,0.715
6/2/1995,0.715
6/5/1995,0.714
6/6/1995,0.717
6/7/1995,0.72
6/8/1995,0.721
6/9/1995,0.719
6/12/1995,0.719
6/13/1995,0.72
6/14/1995,0.721
6/15/1995,0.727
6/16/1995,0.728
6/19/1995,0.726
6/20/1995,0.723
6/21/1995,0.725
6/22/1995,0.72
6/23/1995,0.72
6/26/1995,0.72
6/27/1995,0.714
6/28/1995,0.716
